##
## Bots
##
ia_archiver										Alexa
Mozilla/2.0 (compatible; Ask Jeeves/Teoma)						Ask.com/Teoma
Baiduspider ( http://www.baidu.com/search/spider.htm)					Baidu Spider
curl/7.13.1 (powerpc-apple-darwin8.0) libcurl/7.13.1 OpenSSL/0.9.7b zlib/1.2.2		cURL on Mac OS X / Darwin PPC (public)
GameSpyHTTP/1.0										GameSpy HTTP (GameSpy)
Gigabot/2.0										Gigabot
Googlebot/2.1 (+http://www.google.com/bot.html)						Googlebot
Mozilla/5.0 (compatible; googlebot/2.1; +http://www.google.com/bot.html)		Googlebot alternate
Googlebot-Image/1.0									Googlebot-Image
Mozilla/4.0 (compatible; grub-client-1.4.3; Crawl your own stuff with http://grub.org)	Grub(LookSmart)
Mozilla/4.0 (compatible; grub-client-2.3)						Grub(LookSmart)
Mozilla/3.0 (Slurp/si; slurp@inktomi.com; http://www.inktomi.com/slurp.html)		Inktomi Slurp
msnbot/1.0 (+http://search.msn.com/msnbot.htm)						msnbot
Scooter-3.2.EX										Scooter (AltaVista)
W3C_Validator/1.432.2.10								W3C Validator
Jigsaw/2.2.5 W3C_CSS_Validator_JFouffa/2.0						W3C CSS Validator
Wget/1.9										wget
Mozilla/5.0 (compatible; Yahoo! Slurp;http://help.yahoo.com/help/us/ysearch/slurp)	Yahoo! Slurp
Mozilla/5.0 (compatible; Yahoo! Slurp China; http://misc.yahoo.com.cn/help.html) Yahoo! Slurp
Yahoo!-MMCrawler/3.x (mms dash mmcrawler dash support at yahoo dash inc dot com)	Yahoo!-MMCrawler
##
## Normal
##
ELinks (0.4pre5; Linux 2.4.27 i686; 80x25)								Linux
IBM-WebExplorer-DLL/v1.1h										OS/2, an old HTTP/1.0 UA
Links (0.99pre14; CYGWIN_NT-5.0 1.5.16(0.128/4/2) i686; 80x25)						Windows 2000
Lynx/2.8.4rel.1 libwww-FM/2.14										Linux
Microsoft Internet Explorer/4.0b1 (Windows 95)								Windows 95
MOT-MPx220/1.400 Mozilla/4.0 (compatible; MSIE 4.01; Windows CE; Smartphone; 176x220)			Motorola MPx220 Smartphone
Mozilla/1.22 (compatible; MSIE 1.5; Windows NT)								Windows NT
Mozilla/1.22 (compatible; MSIE 2.0; Windows 95)								Windows 95
Mozilla/2.0 (compatible; MSIE 3.01; Windows 98)								Windows 98
Mozilla/3.0 (compatible; NetPositive/2.2)								BeOS R5
Mozilla/3.0 (OS/2; U)											OS/2 with option -3
Mozilla/3.0 (X11; I; SunOS 5.4 sun4m)									SunOS with weak security
##
## IE
##
Mozilla/4.0 (compatible; MSIE 5.0; Mac_PowerPC) Opera 6.0 [en]						Mac OS 9, cloaked as MSIE
Mozilla/4.0 (compatible; MSIE 5.0; SunOS 5.9 sun4u; X11)						SunOS
Mozilla/4.0 (compatible; MSIE 5.0; Windows 2000) Opera 6.03 [en]					Windows 2000, cloaked as MSIE
Mozilla/4.0 (compatible; MSIE 5.17; Mac_PowerPC)							Mac OS 9
Mozilla/4.0 (compatible; MSIE 5.23; Mac_PowerPC)							Mac OS X
Mozilla/4.0 (compatible; MSIE 5.5; Windows NT 5.0)							Windows 2000
Mozilla/4.0 (compatible; MSIE 6.0; MSN 2.5; Windows 98)							Windows 98
Mozilla/4.0 (compatible; MSIE 6.0; Symbian OS; Nokia 6630/4.03.38; 6937) Opera 8.50 [es]		Nokia 6630 (in Spanish)
Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; en) Opera 8.50						Windows XP, cloaked as MSIE
Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1)								Windows XP SP2
Mozilla/4.0 (compatible; MSIE 6.0; Windows NT 5.1; SV1; .NET CLR 1.0.3705; .NET CLR 1.1.4322; Media Center PC 4.0; .NET CLR 2.0.50727)	Windows XP Media Center Edition 2005 with .NET Framework 1.0, 1.1, and 2.0 installed-
